t,x.A,y.A,x.B,y.B
0,-0.338,0.257,0.315,0.087
0.033,-0.315,0.245,0.314,0.092
0.067,-0.286,0.243,0.317,0.096
0.1,-0.262,0.236,0.314,0.094
0.133,-0.227,0.234,0.304,0.097
0.167,-0.202,0.227,0.276,0.101
0.2,-0.173,0.222,0.229,0.108
0.233,-0.136,0.216,0.192,0.115
0.267,-0.11,0.215,0.149,0.12
0.3,-0.079,0.21,0.111,0.127
0.333,-0.054,0.203,0.072,0.128
0.367,-0.027,0.199,0.031,0.134
0.4,-0.024,0.212,0.015,0.122
0.433,-0.013,0.219,-0.009,0.118
0.467,-0.008,0.219,-0.034,0.117
0.5,0.001,0.213,-0.057,0.131
0.533,0.002,0.203,-0.073,0.138
0.567,0.001,0.188,-0.089,0.147
0.6,-0.002,0.174,-0.101,0.166
0.633,-0.009,0.159,-0.11,0.181
0.667,-0.022,0.145,-0.114,0.194
0.7,-0.037,0.134,-0.113,0.205
0.733,-0.057,0.122,-0.103,0.215
0.767,-0.082,0.118,-0.1,0.217
0.8,-0.104,0.115,-0.093,0.217
0.833,-0.131,0.121,-0.092,0.212
0.867,-0.15,0.127,-0.089,0.206
0.9,-0.167,0.138,-0.089,0.194
0.933,-0.182,0.152,-0.089,0.18
0.967,-0.192,0.161,-0.093,0.167
1,-0.201,0.177,-0.101,0.143
1.033,-0.199,0.191,-0.115,0.135
1.067,-0.196,0.206,-0.136,0.125
1.1,-0.189,0.208,-0.156,0.115
1.133,-0.182,0.21,-0.178,0.108
1.167,-0.177,0.205,-0.203,0.111
1.2,-0.175,0.196,-0.227,0.117
1.233,-0.171,0.185,-0.247,0.121
1.267,-0.173,0.168,-0.264,0.131
1.3,-0.177,0.159,-0.273,0.147
1.333,-0.182,0.142,-0.282,0.159
1.367,-0.196,0.132,-0.287,0.174
1.4,-0.21,0.113,-0.286,0.18
1.433,-0.231,0.101,-0.283,0.187
1.467,-0.251,0.093,-0.278,0.189
1.5,-0.28,0.09,-0.271,0.185
1.533,-0.301,0.086,-0.266,0.184
1.567,-0.324,0.096,-0.266,0.174
1.6,-0.339,0.101,-0.262,0.16
1.633,-0.356,0.114,-0.265,0.147
