Experiment 1: ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Puck B data,,,,,,,Puck A Data,,,,,,,,,
,,,,,,,,,,Interval 1:,0 to 0.333,,,,,
Mass in kg:,0.0188,,,,,,Mass in kg:,0.0184,,Interval 2:,0.333 to0.4,,,,,
Puck_B,,,,,,,Puck_A,,,Interval 3,0.4 to 0.767,,,,,
t (seconds),x_B (meters),y_B (meters),,,,,t (seconds),x_A (meters),y_A (meters),,,,,,,
0,0.295,0.012,v_ix,,,,0,-0.282,0.203,v_ix,,,,,,
0.033,0.295,0.015,-0.6442501436,0.3217191376,,,0.033,-0.259,0.198,0.7441754392,-0.2781885073,,,,,
0.067,0.288,0.016,0.03753648349,0.007400955106,,,0.067,-0.227,0.183,0.01085275084,0.002139804112,,,,,
0.1,0.275,0.02,0.9703536869,0.01312052036,,,0.1,-0.2,0.174,0.9980895265,0.00379347571,,,,,
0.133,0.248,0.033,294.5790649,9,,,0.133,-0.175,0.164,4701.874146,9,,,,,
0.167,0.219,0.041,0.05071121296,0.001549332492,,,0.167,-0.15,0.154,0.06766212224,0.0001295141217,,,,,
0.2,0.198,0.056,,,,,0.2,-0.128,0.145,,,,,,,
0.233,0.174,0.064,v_iy,,,,0.233,-0.106,0.133,v_iy,,,,,,
0.267,0.15,0.072,0.2610084794,0.002415587025,,,0.267,-0.078,0.124,-0.3016970693,0.2045464298,,,,,
0.3,0.121,0.082,0.01547836531,0.00305182255,,,0.3,-0.055,0.116,0.004608482639,0.0009086406064,,,,,
0.333,0.095,0.094,0.9693203232,0.005410315201,,,0.333,-0.036,0.103,0.9979044155,0.001610851222,,,,,
0.367,0.073,0.102,284.3538079,9,,,0.367,-0.02,0.094,4285.744449,9,,,,,
0.4,0.087,0.11,0.008323465496,0.0002634435952,,,0.4,-0.033,0.085,0.01112082824,0.00002335357495,,,,,
0.433,0.107,0.119,,,,,0.433,-0.055,0.073,,,,,,,
0.467,0.128,0.131,v_fx,,,,0.467,-0.081,0.062,v_fx,,,,,,
0.5,0.146,0.136,0.5561919813,-0.1329767836,,,0.5,-0.1,0.055,-0.7377446869,0.266767734,,,,,
0.533,0.166,0.146,0.004239320856,0.002443349444,,,0.533,-0.123,0.049,0.01093332374,0.006500741361,,,,,
0.567,0.182,0.153,0.999477413,0.001481814237,,,0.567,-0.146,0.036,0.9978085103,0.004359348939,,,,,
0.6,0.202,0.161,17213.01199,9,,,0.6,-0.175,0.028,4553.106044,10,,,,,
0.633,0.219,0.167,0.0377958744,0.00001976196089,,,0.633,-0.196,0.018,0.08652687743,0.0001900392317,,,,,
0.667,0.238,0.179,,,,,0.667,-0.221,0.01,,,,,,,
0.7,0.255,0.186,v_fy,,,,0.7,-0.252,-0.002,v_fy,,,,,,
0.733,0.274,0.198,0.455617205,0.07026755647,,,0.733,-0.274,-0.011,-0.2896573125,0.200300099,,,,,
,,,0.008764856102,0.001677456988,,,0.767,-0.307,-0.027,0.006251986805,0.003717309593,,,,,
,,,0.9966803846,0.001704435209,,,,,,0.9953628777,0.00249280024,,,,,
Experiment 2 Data:,,,2702.157445,9,,,,,,2146.509863,10,,,,,
,,,0.007850035924,0.00002614589444,,,,,,0.01333852614,0.00006214053039,,,,,
Puck A Data,(red dot),interval 1,0 to 0.367,,,,Puck B data,,,,,,,,,
Mass(kg):,0.0016,,,,,,Mass(kg):,0.0017,,,,,,0.3137076109,-0.1359252551,
,,,,,,,,,,,,,,0.0365181635,0.01907110611,
,,,,,,,,,,,,,,0.92480817,0.007886052807,
Puck_A,,,,,,,Puck_B,,,,,,,73.79590331,6,
t(seconds),x(meters),y(meters),"XA,COM","YA,COM",Theta(Radians),Theta after fixing discontinuity,t,x,y,"XB,COM","YB,COM",Theta,Theta trans,0.004589354599,0.0003731389733,
0,-0.338,0.257,-0.3363939394,0.08757575758,2.886909047,2.886909047,0,0.315,0.087,0.3166060606,-0.08242424242,-0.2546836064,-0.2546836064,,,
0.033,-0.315,0.245,-0.324030303,0.07881818182,2.902983331,2.902983331,0.033,0.314,0.092,0.304969697,-0.07418181818,-0.2386093225,-0.2386093225,,-1.160624354,-0.1373826892
0.067,-0.286,0.243,-0.3106363636,0.07572727273,2.902475588,2.902475588,0.067,0.317,0.096,0.2923636364,-0.07127272727,-0.2391170655,-0.2391170655,,0.2951718429,0.06389589822
0.1,-0.262,0.236,-0.2967272727,0.07315151515,2.899884625,2.899884625,0.1,0.314,0.094,0.2792727273,-0.06884848485,-0.2417080288,-0.2417080288,,0.6072402111,0.1176912978
0.133,-0.227,0.234,-0.2735454545,0.07057575758,2.889095335,2.889095335,0.133,0.304,0.097,0.2574545455,-0.06642424242,-0.2524973184,-0.2524973184,,15.46085491,10
0.167,-0.202,0.227,-0.2462424242,0.06490909091,2.883857077,2.883857077,0.167,0.276,0.101,0.2317575758,-0.06109090909,-0.2577355766,-0.2577355766,,0.2141520365,0.1385124158
0.2,-0.173,0.222,-0.2070909091,0.05872727273,2.865265379,2.865265379,0.2,0.229,0.108,0.1949090909,-0.05527272727,-0.276327275,-0.276327275,,,
0.233,-0.136,0.216,-0.168969697,0.05203030303,2.842879497,2.842879497,0.233,0.192,0.115,0.159030303,-0.04896969697,-0.2987131561,-0.2987131561,,,
0.267,-0.11,0.215,-0.1334242424,0.04893939394,2.790034417,2.790034417,0.267,0.149,0.12,0.1255757576,-0.04606060606,-0.351558237,-0.351558237,,,
0.3,-0.079,0.21,-0.09787878788,0.04275757576,2.729734546,2.729734546,0.3,0.111,0.127,0.09212121212,-0.04024242424,-0.411858108,-0.411858108,,,
0.333,-0.054,0.203,-0.06490909091,0.03863636364,2.604681911,2.604681911,0.333,0.072,0.128,0.06109090909,-0.03636363636,-0.5369107427,-0.5369107427,,,
0.367,-0.027,0.199,-0.02987878788,0.03348484848,2.299345243,2.299345243,0.367,0.031,0.134,0.02812121212,-0.03151515152,-0.8422474107,-0.8422474107,,,
0.4,-0.024,0.212,-0.02009090909,0.04636363636,1.979704156,1.979704156,0.4,0.015,0.122,0.01890909091,-0.04363636364,-1.161888498,-1.161888498,,,
0.433,-0.013,0.219,-0.002060606061,0.05203030303,1.610379601,1.610379601,0.433,-0.009,0.118,0.001939393939,-0.04896969697,-1.531213053,-1.531213053,,,
0.467,-0.008,0.219,0.01339393939,0.05254545455,1.321209401,1.321209401,0.467,-0.034,0.117,-0.01260606061,-0.04945454545,-1.820383252,-1.820383252,,,
0.5,0.001,0.213,0.02987878788,0.04224242424,0.9551764374,0.9551764374,0.5,-0.057,0.131,-0.02812121212,-0.03975757576,-2.186416216,-2.186416216,,,
0.533,0.002,0.203,0.03863636364,0.03348484848,0.7140906986,0.7140906986,0.533,-0.073,0.138,-0.03636363636,-0.03151515152,-2.427501955,-2.427501955,,,
0.567,0.001,0.188,0.04636363636,0.02112121212,0.427464313,0.427464313,0.567,-0.089,0.147,-0.04363636364,-0.01987878788,-2.714128341,-2.714128341,,,
0.6,-0.002,0.174,0.051,0.004121212121,0.08063287595,0.08063287595,0.6,-0.101,0.166,-0.048,-0.003878787879,-3.060959778,-3.060959778,,,
0.633,-0.009,0.159,0.05203030303,-0.01133333333,-0.2144716987,-0.2144716987,0.633,-0.11,0.181,-0.04896969697,0.01066666667,2.927120955,-3.356059045,,,
0.667,-0.022,0.145,0.04739393939,-0.02524242424,-0.4893929922,-0.4893929922,0.667,-0.114,0.194,-0.04460606061,0.02375757576,2.652199661,-3.630980339,,,
0.7,-0.037,0.134,0.03915151515,-0.03657575758,-0.7513976659,-0.7513976659,0.7,-0.113,0.205,-0.03684848485,0.03442424242,2.390194988,-3.892985012,,,
0.733,-0.057,0.122,0.0236969697,-0.04790909091,-1.111459036,-1.111459036,0.733,-0.103,0.215,-0.0223030303,0.04509090909,2.030133618,-4.253046382,,,
0.767,-0.082,0.118,0.009272727273,-0.051,-1.390942827,-1.390942827,0.767,-0.1,0.217,-0.008727272727,0.048,1.750649827,-4.532530173,,,
0.8,-0.104,0.115,-0.005666666667,-0.05254545455,-1.67822428,-1.67822428,0.8,-0.093,0.217,0.005333333333,0.04945454545,1.463368373,-4.819811627,,,
0.833,-0.131,0.121,-0.02009090909,-0.04687878788,-1.975688113,-1.975688113,0.833,-0.092,0.212,0.01890909091,0.04412121212,1.165904541,-5.117275459,,,
